年份,PE风险评分,PB风险评分,PS风险评分,综合估值风险
2018,0.9277272727272728,1.2936143241958484,1.1086366105377512,1.1099927358202908
2019,1.4019898082989568,1.984065934065934,1.625661226786719,1.6705723230505365
2020,1.8830584707646179,2.5829954756448674,2.2430860291866517,2.236379991865379
2021,1.9153640869233703,2.5534942820838635,2.2949022473963097,2.254586872134514
2022,1.4418367346938774,1.9751878385462178,1.772481379851039,1.7298353176970445
2023,1.1428877291583033,1.6028826664664817,1.4457309228790032,1.3971671061679292
