Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-12 00:00:00+08:00,1519.4510411517213,1560.50927734375,1519.4510411517213,1560.50927734375,4372904,0.0,0.0
2020-10-13 00:00:00+08:00,1560.5180780723256,1560.5180780723256,1546.594276888882,1550.159912109375,2294389,0.0,0.0
2020-10-14 00:00:00+08:00,1551.0515923221517,1557.273609460331,1538.571866866686,1541.24609375,2048139,0.0,0.0
2020-10-15 00:00:00+08:00,1534.2305498837475,1546.5943865347601,1534.1146623782836,1537.6802978515625,1620436,0.0,0.0
2020-10-16 00:00:00+08:00,1537.6801107531396,1546.219767499332,1518.0691180362878,1526.091796875,1737738,0.0,0.0
2020-10-19 00:00:00+08:00,1537.6800447298963,1545.684877639381,1508.1744378084222,1514.50341796875,1922632,0.0,0.0
2020-10-20 00:00:00+08:00,1511.205522687704,1546.5676434305954,1510.938056497013,1545.7030029296875,2773493,0.0,0.0
2020-10-21 00:00:00+08:00,1545.7919930131663,1552.9678774472088,1535.8973770020068,1545.1055908203125,1890137,0.0,0.0
2020-10-22 00:00:00+08:00,1542.1371755066355,1555.5083070861729,1529.2206711059662,1553.27978515625,2248087,0.0,0.0
2020-10-23 00:00:00+08:00,1551.7467232442903,1557.817160926192,1527.874768137707,1529.060302734375,1929169,0.0,0.0
2020-10-26 00:00:00+08:00,1443.190904743847,1482.341619974128,1443.190904743847,1464.584716796875,6601529,0.0,0.0
2020-10-27 00:00:00+08:00,1464.5846651141826,1464.852131281229,1440.6235921077543,1448.539306640625,4394440,0.0,0.0
2020-10-28 00:00:00+08:00,1449.4306194898945,1494.892465488655,1448.610484271191,1484.0262451171875,3463653,0.0,0.0
2020-10-29 00:00:00+08:00,1475.139099648387,1522.5264280769877,1468.1504842170953,1494.0013427734375,3937376,0.0,0.0
2020-10-30 00:00:00+08:00,1495.78407964912,1511.8294392639498,1484.195764371743,1488.670654296875,2605545,0.0,0.0
2020-11-02 00:00:00+08:00,1496.6755386849009,1510.9380810428272,1490.435676403308,1492.2274169921875,2106643,0.0,0.0
2020-11-03 00:00:00+08:00,1502.0149770612209,1520.6543664289786,1493.5555158496957,1510.93798828125,2349749,0.0,0.0
2020-11-04 00:00:00+08:00,1515.3950607769514,1518.9606962140736,1502.023927887743,1515.0206298828125,1644371,0.0,0.0
2020-11-05 00:00:00+08:00,1530.5490668558086,1544.348059087254,1526.1811415241173,1534.9169921875,2352414,0.0,0.0
2020-11-06 00:00:00+08:00,1542.6277935838077,1543.5547848928743,1506.4811173314765,1515.9478759765625,2305153,0.0,0.0
2020-11-09 00:00:00+08:00,1516.6252065415918,1560.5717067484138,1515.9477271046308,1553.34228515625,4146970,0.0,0.0
2020-11-10 00:00:00+08:00,1562.5685426485743,1572.8731730445409,1547.4858647474928,1555.508544921875,3018944,0.0,0.0
2020-11-11 00:00:00+08:00,1555.5085738999023,1584.47936395821,1543.0288489517084,1543.3408203125,3485073,0.0,0.0
2020-11-12 00:00:00+08:00,1542.1460225855694,1559.9652743572062,1535.246527734433,1546.406982421875,2347309,0.0,0.0
2020-11-13 00:00:00+08:00,1536.7888185025658,1541.138897933044,1507.3723271971223,1519.85205078125,2815548,0.0,0.0
2020-11-16 00:00:00+08:00,1525.2005030844794,1542.181884765625,1512.9525545059612,1542.181884765625,3061349,0.0,0.0
2020-11-17 00:00:00+08:00,1551.051421068291,1553.1462101326842,1516.348826165639,1529.4793701171875,2522403,0.0,0.0
2020-11-18 00:00:00+08:00,1528.7661763072529,1533.6956933585946,1500.3837490181143,1509.734619140625,3517895,0.0,0.0
2020-11-19 00:00:00+08:00,1501.578128117949,1537.6801846265728,1498.1016120245788,1533.3924560546875,2781576,0.0,0.0
2020-11-20 00:00:00+08:00,1533.2233132470947,1547.485855695905,1526.6714795725852,1533.1876220703125,2187466,0.0,0.0
2020-11-23 00:00:00+08:00,1579.5675172627602,1613.3608563327145,1579.5675172627602,1595.8089599609375,6663724,0.0,0.0
2020-11-24 00:00:00+08:00,1577.784868987096,1588.9364033053607,1561.275958342984,1571.9996337890625,3246536,0.0,0.0
2020-11-25 00:00:00+08:00,1570.2168973663709,1576.7954999037756,1536.7890610613815,1539.3563232421875,2822632,0.0,0.0
2020-11-26 00:00:00+08:00,1538.5716041450373,1551.0424046762516,1537.84069680015,1546.050537109375,2322830,0.0,0.0
2020-11-27 00:00:00+08:00,1544.5084697472798,1551.0424573651683,1531.4403856969475,1549.179443359375,2156861,0.0,0.0
2020-11-30 00:00:00+08:00,1546.5942140620273,1550.070730023693,1527.79443359375,1527.79443359375,3194007,0.0,0.0
2020-12-01 00:00:00+08:00,1538.5718210557445,1550.1512144105525,1533.2322902428775,1548.3773193359375,2819620,0.0,0.0
2020-12-02 00:00:00+08:00,1556.3999362821924,1559.0741629768352,1543.0288028089776,1549.277587890625,2357169,0.0,0.0
2020-12-03 00:00:00+08:00,1549.2776433133345,1565.0110326925642,1544.0093860683476,1559.07421875,2950578,0.0,0.0
2020-12-04 00:00:00+08:00,1564.422585652805,1604.6251044100875,1564.422585652805,1598.3941650390625,6249119,0.0,0.0
2020-12-07 00:00:00+08:00,1606.9427461054195,1640.5400034107981,1605.026304063094,1615.5894775390625,5833133,0.0,0.0
